week,pen_id,cow_id,conflict_risk,isolation_risk
0,2,0,0.09844589567661405,0.29211328795936553
0,2,1,0.5307762255104571,0.04616433826568571
0,1,2,0.04325916230366492,0.06488874345549737
0,2,3,0.5626849632140201,0.09402744482103001
0,-1,4,0.0,0.0
0,2,5,0.02806480945689014,0.11709721418533522
0,2,6,0.5032652723815823,0.004897908572373316
0,1,7,0.033049738219895285,0.04957460732984293
0,3,8,0.0956179775280899,0.14342696629213483
0,3,9,0.04662921348314606,0.06994382022471908
0,3,10,0.04898876404494382,0.07348314606741571
0,2,11,0.5585186409853683,0.0877779614780524
0,1,12,0.02781413612565445,0.04172120418848167
0,1,13,0.021989528795811522,0.032984293193717276
0,1,14,0.035471204188481674,0.053206806282722514
0,2,15,0.5876332975117797,0.13144994626766968
0,1,16,0.024345549738219896,0.036518324607329844
0,-1,17,0.0,0.0
0,2,18,0.0027692816400760522,0.07915392246011409
0,1,19,0.020222513089005238,0.030333769633507854
1,2,0,0.1,0.15
1,2,1,0.14285714285714288,0.1033333333333333
1,1,2,0.615,0.06
1,2,3,0.525,0.0375
1,-1,4,0.0,0.0
1,2,5,0.14285714285714288,0.1033333333333333
1,2,6,0.025,0.2346428571428571
1,1,7,0.03,0.345
1,3,8,0.1,0.15
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,2,11,0.525,0.0375
1,1,12,0.03,0.3
1,1,13,0.03,0.3
1,1,14,0.41500000000000004,0.08857142857142858
1,2,15,0.1,0.15
1,1,16,0.49,0.08857142857142858
1,-1,17,0.0,0.0
1,2,18,0.025,0.2346428571428571
1,1,19,0.03,0.345
2,2,0,0.1,0.15
2,2,1,0.14285714285714288,0.1033333333333333
2,1,2,0.615,0.06
2,2,3,0.525,0.0375
2,-1,4,0.0,0.0
2,2,5,0.14285714285714288,0.1033333333333333
2,2,6,0.025,0.2346428571428571
2,1,7,0.03,0.345
2,3,8,0.1,0.15
2,3,9,0.0,0.0
2,3,10,0.0,0.0
2,2,11,0.525,0.0375
2,1,12,0.03,0.3
2,1,13,0.03,0.3
2,1,14,0.41500000000000004,0.08857142857142858
2,2,15,0.1,0.15
2,1,16,0.49,0.08857142857142858
2,-1,17,0.0,0.0
2,2,18,0.025,0.2346428571428571
2,1,19,0.03,0.345
3,2,0,0.1,0.15
3,2,1,0.14285714285714288,0.1033333333333333
3,1,2,0.615,0.06
3,2,3,0.525,0.0375
3,-1,4,0.0,0.0
3,2,5,0.14285714285714288,0.1033333333333333
3,2,6,0.025,0.2346428571428571
3,1,7,0.03,0.345
3,3,8,0.1,0.15
3,3,9,0.0,0.0
3,3,10,0.0,0.0
3,2,11,0.525,0.0375
3,1,12,0.03,0.3
3,1,13,0.03,0.3
3,1,14,0.41500000000000004,0.08857142857142858
3,2,15,0.1,0.15
3,1,16,0.49,0.08857142857142858
3,-1,17,0.0,0.0
3,2,18,0.025,0.2346428571428571
3,1,19,0.03,0.345
