week,pen_id,cow_id,conflict_risk,isolation_risk,betweenness_norm,degree_change_norm,community_disruption_norm,frequency_deviation_norm,degree_deficit_norm,centrality_decline_norm,closeness_deficit_norm
0,2,0,0.37992119247735595,0.5532256464378161,0.3161701586259184,0.23465206481089998,0.5,0.8817309696167174,0.5718212549765402,0.35926137413366516,0.5652507475670999
0,2,1,0.4376046679848964,0.3693143908643869,0.5,0.23465206481089998,0.5,0.5394165178217138,0.33737816282991745,0.35926137413366516,0.31270571980279593
0,1,2,0.4385401786291474,0.16526123773564091,0.5,0.11139044581172168,0.5,0.8569256717621697,0.06297335605699649,0.004496273160941178,0.06666415201542175
0,2,3,0.4573696472963187,0.3989618598315203,0.5,0.23465206481089998,0.5,0.7370663109359364,0.33737816282991745,0.35926137413366516,0.31270571980279593
0,-1,4,0.5,0.0788218321868,0.5,0.5,0.5,0.5,0.004496273160941178,0.004496273160941178,0.004496273160941178
0,2,5,0.3438426200860818,0.4342852315415408,0.3161701586259184,0.23465206481089998,0.5,0.5209452457039757,0.4519346002322465,0.35926137413366516,0.45093961182279324
0,2,6,0.41922336317627346,0.3417424336514525,0.5,0.23465206481089998,0.5,0.3556034697354845,0.33737816282991745,0.35926137413366516,0.31270571980279593
0,1,7,0.41299750652522726,0.12694722957976076,0.5,0.11139044581172168,0.5,0.6014989507229687,0.06297335605699649,0.004496273160941178,0.06666415201542175
0,3,8,0.46366822755522463,0.5349314477483601,0.5,0.26152238289193797,0.5,0.7328763183224012,0.5,0.5,0.5
0,3,9,0.44844561168212216,0.5120975239387064,0.5,0.26152238289193797,0.5,0.5806501595913768,0.5,0.5,0.5
0,3,10,0.44924540139125496,0.5132972085024056,0.5,0.26152238289193797,0.5,0.5886480566827045,0.5,0.5,0.5
0,2,11,0.4551023241951748,0.39556087517980454,0.5,0.23465206481089998,0.5,0.7143930799244979,0.33737816282991745,0.35926137413366516,0.31270571980279593
0,1,12,0.3955233927444171,0.1007360589085455,0.5,0.11139044581172168,0.5,0.426757812914867,0.06297335605699649,0.004496273160941178,0.06666415201542175
0,1,13,0.3781714711363525,0.07470817649644866,0.5,0.11139044581172168,0.5,0.2532385968342213,0.06297335605699649,0.004496273160941178,0.06666415201542175
0,1,14,0.42051685025570057,0.13822624517547072,0.5,0.11139044581172168,0.5,0.6766923880277016,0.06297335605699649,0.004496273160941178,0.06666415201542175
0,2,15,0.46838776768789414,0.41548904041888346,0.5,0.23465206481089998,0.5,0.8472475148516909,0.33737816282991745,0.35926137413366516,0.31270571980279593
0,1,16,0.38463953314682364,0.08441026951215527,0.5,0.11139044581172168,0.5,0.31791921693893205,0.06297335605699649,0.004496273160941178,0.06666415201542175
0,-1,17,0.5,0.0788218321868,0.5,0.5,0.5,0.5,0.004496273160941178,0.004496273160941178,0.004496273160941178
0,2,18,0.3269981777871143,0.4090185680930896,0.3161701586259184,0.23465206481089998,0.5,0.3525008227143013,0.4519346002322465,0.35926137413366516,0.45093961182279324
0,1,19,0.3739300941089375,0.06834611095532608,0.5,0.11139044581172168,0.5,0.2108248265600708,0.06297335605699649,0.004496273160941178,0.06666415201542175
