timestamp,coord_x_cm,coord_y_cm,coord_z_cm
1690520411.0,471.7,-698.9,153.3
1690520426.0,460.9,-714.7,107.1
1690520441.0,462.1,-700.1,150.4
1690520456.0,429.5,-722.4,87.1
1690520471.0,448.2,-706.6,148.9
1690520486.0,465.9,-697.4,149.1
1690520501.0,423.1,-705.1,86.6
1690520516.0,469.1,-671.2,150.3
1690520531.0,493.0,-704.3,137.5
1690520546.0,457.7,-705.4,148.4
1690520561.0,467.1,-700.7,135.4
1690520576.0,465.5,-703.0,133.9
1690520591.0,468.1,-698.7,149.0
1690520606.0,455.5,-629.5,141.7
1690520621.0,347.0,-612.9,157.3
1690520636.0,334.1,-740.0,98.4
1690520651.0,341.7,-698.5,150.9
1690520666.0,397.8,-611.7,157.6
1690520681.0,419.9,-705.3,82.4
1690520696.0,392.3,-695.2,147.3
1690520711.0,415.7,-710.3,80.8
1690520726.0,406.7,-695.6,152.4
1690520741.0,402.5,-711.5,128.3
1690520756.0,396.5,-707.1,88.8
1690520771.0,397.0,-694.5,145.7
1690520786.0,393.1,-755.5,104.8
1690520801.0,390.7,-709.9,145.1
1690520816.0,384.1,-704.4,148.3
1690520831.0,392.3,-710.4,123.5
1690520846.0,380.1,-684.1,148.7
1690520861.0,390.4,-724.3,97.2
1690520876.0,382.9,-693.2,152.1
1690520891.0,377.2,-686.8,147.1
1690520906.0,368.8,-687.9,141.2
1690520921.0,377.5,-740.9,95.5
1690520936.0,377.1,-691.4,145.6
1690520951.0,372.4,-689.1,136.3
1690520966.0,386.9,-720.2,86.4
1690520981.0,388.5,-713.2,149.6
1690520996.0,384.2,-706.5,145.7
1690521011.0,357.5,-593.2,123.8
1690521026.0,464.2,-706.7,105.4
1690521041.0,463.4,-695.5,153.2
1690521056.0,459.9,-720.0,113.7
1690521071.0,456.6,-697.5,154.0
1690521086.0,484.4,-693.3,140.2
1690521101.0,459.0,-707.8,103.5
1690521116.0,453.0,-695.3,155.1
1690521131.0,457.1,-738.0,98.3
1690521146.0,455.1,-691.0,157.0
1690521161.0,438.4,-710.5,154.0
1690521176.0,431.1,-706.8,96.6
1690521191.0,454.4,-701.3,156.6
1690521206.0,469.6,-697.4,153.1
1690521221.0,435.7,-699.2,89.3
1690521236.0,452.6,-695.1,152.7
1690521251.0,459.9,-692.6,147.2
1690521266.0,445.5,-721.9,114.9
1690521281.0,452.3,-695.4,152.5
1690521296.0,436.9,-715.4,90.4
1690521311.0,454.3,-692.1,153.0
1690521326.0,472.2,-694.9,145.5
1690521341.0,466.0,-744.6,116.0
1690521356.0,444.9,-698.8,150.5
1690521371.0,457.1,-691.6,154.4
1690521386.0,442.6,-743.0,93.3
1690521401.0,445.5,-697.3,151.6
1690521416.0,459.7,-701.4,133.8
1690521431.0,454.5,-629.0,152.2
1690521446.0,425.0,-583.8,133.6
1690521461.0,436.4,-602.7,127.6
1690521476.0,433.8,-523.0,123.7
1690521491.0,298.9,-250.2,122.0
1690521506.0,299.5,-240.8,110.7
1690521521.0,273.6,-289.5,129.0
1690521536.0,322.3,-235.6,99.9
1690521551.0,316.8,-229.2,88.3
1690521566.0,296.9,-275.4,84.6
1690521581.0,270.8,-213.9,109.0
1690521596.0,233.9,-70.6,130.4
1690521611.0,237.8,-63.8,98.0
1690521626.0,279.7,-53.9,101.5
1690521641.0,269.2,-31.4,92.1
1690521656.0,244.4,-15.1,92.6
1690521671.0,300.7,-40.7,73.2
1690521686.0,278.8,-31.0,81.3
1690521701.0,277.1,-22.7,80.6
1690521716.0,267.6,-25.1,102.4
1690521731.0,254.4,-16.2,90.6
1690521746.0,266.8,-20.7,90.5
1690521761.0,284.8,-31.5,80.0
1690521776.0,290.0,-30.2,84.0
1690521791.0,284.8,-29.8,88.2
1690521806.0,285.6,-31.2,82.1
1690521821.0,268.0,-23.3,98.0
1690521836.0,293.5,-36.5,70.5
1690521851.0,297.5,-32.6,83.4
1690521866.0,301.6,-25.3,66.5
1690521881.0,287.0,-35.8,85.6
1690521896.0,nan,nan,nan
1690521911.0,267.0,-16.9,84.2
1690521926.0,252.5,-12.1,95.2
1690521941.0,289.3,-41.4,81.4
1690521956.0,255.8,-13.0,93.8
1690521971.0,267.8,-24.8,85.8
1690521986.0,277.4,-33.5,77.6
1690522001.0,265.8,-19.0,87.4
1690522016.0,266.1,-14.3,87.2
1690522031.0,279.4,-34.8,79.0
1690522046.0,268.1,-23.6,85.9
1690522061.0,284.9,-42.3,77.8
1690522076.0,256.0,-14.8,90.7
1690522091.0,261.7,-16.7,90.4
1690522106.0,256.1,-13.0,94.6
1690522121.0,300.5,-42.6,66.8
1690522136.0,281.0,-30.7,78.5
1690522151.0,275.0,-26.6,79.6
1690522166.0,266.1,-19.3,86.6
1690522181.0,256.6,-21.8,87.0
1690522196.0,273.2,-26.5,86.4
1690522211.0,265.2,-15.6,97.1
1690522226.0,275.7,-27.3,91.8
1690522241.0,267.4,-19.7,90.8
1690522256.0,333.8,-62.6,116.5
1690522271.0,262.0,-15.9,94.3
1690522286.0,263.4,-19.8,87.4
1690522301.0,270.5,-26.5,86.1
1690522316.0,298.0,-39.3,71.1
1690522331.0,287.3,-36.6,80.4
1690522346.0,278.9,-32.4,85.9
1690522361.0,286.9,-35.9,80.9
1690522376.0,269.0,-19.8,95.8
1690522391.0,280.2,-38.4,81.2
1690522406.0,270.1,-26.8,92.0
1690522421.0,282.4,-32.0,85.7
1690522436.0,285.8,-30.1,72.7
1690522451.0,291.7,-39.2,81.0
1690522466.0,272.0,-25.8,89.0
1690522481.0,275.8,-17.2,88.7
