week,cow_id,conflict_risk,isolation_risk
2794,T01,0.42164033938795875,0.49275911965658276
2794,T02,0.4050428698210435,0.4678629153062099
2794,T03,0.4230805424493908,0.4949194242487308
2794,T04,0.40493536942584696,0.4677016647134151
2794,T05,0.4069069988562596,0.47065910885903406
2794,T06,0.4481643182391335,0.5325450879333449
2794,T07,0.43175603615666175,0.5079326648096373
2794,T08,0.4514599623808771,0.5374885541459603
2794,T09,0.4300559671305696,0.505382561270499
2794,T10,0.4035602828774882,0.4656390348908769
2795,T01,0.5030490245574926,0.5045735368362388
2795,T02,0.494139021224804,0.4912085318372059
2795,T03,0.5005449889575191,0.5008174834362785
2795,T04,0.49052084769086435,0.4857812715362964
2795,T05,0.4811170532382694,0.4716755798574041
2795,T06,0.5079991048279571,0.5119986572419355
2795,T07,0.49986899468803253,0.4998034920320487
2795,T08,0.5157760556673664,0.5236640835010495
2795,T09,0.48577126685629074,0.478656900284436
2795,T10,0.514088023156186,0.5211320347342788
2796,T01,0.48277063329095415,0.4741559499364311
2796,T02,0.5224923937474616,0.5337385906211923
2796,T03,0.5001310053119675,0.5001965079679511
2796,T04,0.4798121317412198,0.46971819761182954
2796,T05,0.4801424245903756,0.47021363688556334
2796,T06,0.5364610361089525,0.5546915541634286
2796,T07,0.4781924403551312,0.4672886605326967
2796,T08,0.5283750208749246,0.5425625313123869
2796,T09,0.5136430510988257,0.5204645766482383
2796,T10,0.5154432537062508,0.5231648805593762
