week,pen_id,cow_id,degree,betweenness,eigenvector,interaction_count
1,1,T01,1.0,0.0,0.27806432546319737,9
1,1,T02,1.0,0.0,0.28543302685917116,9
1,1,T03,1.0,0.0,0.315438033635519,9
1,1,T04,1.0,0.0,0.31904866849891195,9
1,1,T05,1.0,0.0,0.3198775455467833,9
1,1,T06,1.0,0.05555555555555555,0.23678787472818977,9
1,1,T07,1.0,0.0,0.3507578583777488,9
1,1,T08,1.0,0.0,0.3722428443379889,9
1,1,T09,1.0,0.0,0.3312814759555848,9
1,1,T10,1.0,0.0,0.33193620426027376,9
2,1,T01,1.0,0.05555555555555555,0.3037104385616515,9
2,1,T02,1.0,0.0,0.2638784331585266,9
2,1,T03,1.0,0.0,0.27008034171395406,9
2,1,T04,1.0,0.0,0.330077108138387,9
2,1,T05,1.0,0.0,0.33077855240919063,9
2,1,T06,1.0,0.25,0.22499761351305886,9
2,1,T07,1.0,0.0,0.36049147948260246,9
2,1,T08,1.0,0.0,0.3603862681271076,9
2,1,T09,1.0,0.0,0.3058921410868974,9
2,1,T10,1.0,0.0,0.3778797505712722,9
