timestamp,coord_x_cm,coord_y_cm,coord_z_cm
1690261212.0,302.1,-645.3,175.7
1690261227.0,300.1,-645.7,175.2
1690261242.0,302.3,-644.8,176.5
1690261257.0,300.5,-645.4,175.9
1690261272.0,301.7,-644.8,175.7
1690261287.0,300.0,-645.9,176.5
1690261302.0,300.6,-646.2,177.0
1690261317.0,302.4,-645.3,176.6
1690261332.0,299.3,-644.8,175.7
1690261347.0,301.3,-645.5,176.3
1690261362.0,302.2,-645.2,177.3
1690261377.0,300.4,-646.6,177.4
1690261392.0,300.9,-646.0,176.1
1690261407.0,300.7,-646.2,178.4
1690261422.0,302.1,-645.7,177.2
1690261437.0,301.1,-645.5,176.7
1690261452.0,300.5,-645.8,175.3
1690261467.0,301.4,-645.5,176.3
1690261482.0,301.4,-645.5,176.4
1690261497.0,302.9,-645.1,177.7
1690261512.0,300.5,-645.4,175.2
1690261527.0,301.1,-645.8,176.6
1690261542.0,300.7,-645.9,176.0
1690261557.0,300.7,-645.1,174.8
1690261572.0,300.8,-645.2,175.7
1690261587.0,302.0,-645.5,177.1
1690261602.0,301.8,-645.7,176.5
1690261617.0,300.4,-646.1,174.7
1690261632.0,301.2,-644.8,175.1
1690261647.0,302.7,-645.3,176.5
1690261662.0,302.7,-645.4,176.0
1690261677.0,301.5,-645.2,175.3
1690261692.0,303.3,-646.2,177.6
1690261707.0,300.7,-645.9,175.9
1690261722.0,301.3,-646.4,176.5
1690261737.0,300.1,-645.1,174.1
1690261752.0,301.1,-645.1,176.5
1690261767.0,301.2,-645.9,176.5
1690261782.0,300.1,-645.9,176.5
1690261797.0,300.0,-645.6,174.0
1690261812.0,300.1,-645.2,174.5
1690261827.0,299.7,-644.4,175.2
1690261842.0,298.5,-645.6,174.2
1690261857.0,302.1,-644.4,175.7
1690261872.0,302.2,-645.5,176.2
1690261887.0,302.7,-646.3,177.7
1690261902.0,302.6,-644.9,176.6
1690261917.0,298.0,-646.1,177.9
1690261932.0,300.6,-645.2,176.0
1690261947.0,301.9,-645.3,175.7
1690261962.0,300.4,-644.3,174.0
1690261977.0,300.4,-645.7,175.4
1690261992.0,300.7,-645.0,179.0
1690262007.0,300.1,-647.8,175.6
1690262022.0,299.7,-646.5,175.4
1690262037.0,302.0,-644.3,175.1
1690262052.0,302.1,-646.6,177.1
1690262067.0,300.7,-646.6,175.8
1690262082.0,302.2,-645.2,176.2
1690262097.0,299.6,-643.4,174.4
1690262112.0,302.7,-646.5,176.4
1690262127.0,299.8,-645.5,174.4
1690262142.0,301.8,-645.1,175.2
1690262157.0,298.9,-644.4,173.6
1690262172.0,301.7,-647.2,177.1
1690262187.0,303.1,-645.2,176.5
1690262202.0,299.3,-644.4,174.3
1690262217.0,296.7,-644.1,173.0
1690262232.0,301.1,-645.5,175.0
1690262247.0,301.9,-645.8,176.5
1690262262.0,299.0,-644.8,173.7
1690262277.0,303.0,-646.2,176.5
1690262292.0,302.2,-644.8,176.7
1690262307.0,301.7,-646.4,175.3
1690262322.0,301.6,-645.7,177.1
1690262337.0,301.6,-643.9,177.5
1690262352.0,300.8,-643.5,176.7
1690262367.0,301.0,-644.5,176.2
1690262382.0,299.7,-643.5,176.3
1690262397.0,300.6,-644.1,175.6
1690262412.0,298.9,-645.2,175.8
1690262427.0,302.2,-645.3,175.6
1690262442.0,300.5,-643.5,175.5
1690262457.0,299.9,-644.5,175.9
1690262472.0,302.1,-644.9,177.1
1690262487.0,301.9,-645.2,177.4
1690262502.0,301.9,-645.2,177.4
1690262517.0,298.9,-644.4,173.9
1690262532.0,302.5,-645.8,175.2
1690262547.0,303.1,-646.6,176.7
1690262562.0,302.3,-644.4,175.9
