timestamp,loc_x_cm,loc_y_cm,loc_z_cm
1690271846.0,-94.0,230.0,79.0
1690271861.0,-89.0,235.0,78.0
1690271876.0,-92.0,225.0,79.0
1690271891.0,-97.0,228.0,78.0
1690271906.0,-98.0,225.0,77.0
1690271921.0,-100.0,226.0,76.0
1690271936.0,-94.0,229.0,79.0
1690271951.0,-94.0,229.0,82.0
1690271966.0,-89.0,229.0,77.0
1690271981.0,-98.0,227.0,77.0
1690271996.0,-99.0,229.0,79.0
1690272011.0,-87.0,226.0,75.0
1690272026.0,-84.0,226.0,78.0
1690272041.0,-98.0,228.0,76.0
1690272056.0,-90.0,232.0,72.0
1690272071.0,-134.0,239.0,94.0
1690272086.0,-114.0,236.0,88.0
1690272101.0,-92.0,218.0,92.0
1690272116.0,-103.0,214.0,76.0
1690272131.0,-114.0,226.0,80.0
1690272146.0,-100.0,239.0,87.0
1690272161.0,-98.0,238.0,76.0
1690272176.0,-101.0,232.0,78.0
1690272191.0,-164.0,255.0,95.0
1690272206.0,-119.0,231.0,81.0
1690272221.0,-109.0,229.0,84.0
1690272236.0,-106.0,229.0,80.0
1690272251.0,-98.0,238.0,83.0
1690272266.0,-107.0,233.0,82.0
1690272281.0,-99.0,226.0,80.0
1690272296.0,-105.0,228.0,81.0
1690272311.0,-95.0,229.0,84.0
1690272326.0,-101.0,226.0,79.0
1690272341.0,-112.0,232.0,79.0
1690272356.0,-99.0,228.0,76.0
1690272371.0,-70.0,224.0,72.0
1690272386.0,-110.0,232.0,82.0
1690272401.0,-113.0,228.0,79.0
1690272416.0,-108.0,222.0,77.0
1690272431.0,-109.0,229.0,79.0
1690272446.0,-103.0,224.0,78.0
1690272461.0,-117.0,232.0,81.0
1690272476.0,-95.0,224.0,78.0
1690272491.0,-114.0,226.0,82.0
1690272506.0,-109.0,225.0,81.0
1690272521.0,-94.0,238.0,83.0
1690272536.0,-113.0,246.0,80.0
1690272551.0,-119.0,240.0,107.0
1690272566.0,-136.0,254.0,107.0
1690272581.0,-117.0,241.0,83.0
1690272596.0,-119.0,239.0,106.0
1690272611.0,-109.0,249.0,79.0
1690272626.0,-113.0,247.0,80.0
1690272641.0,-99.0,236.0,73.0
1690272656.0,-72.0,233.0,72.0
1690272671.0,-77.0,256.0,72.0
1690272686.0,-76.0,252.0,74.0
1690272701.0,-47.0,249.0,73.0
1690272716.0,-68.0,283.0,69.0
