timestamp,coord_x_cm,coord_y_cm,coord_z_cm
1690520411.0,364.1,-724.3,80.4
1690520426.0,367.3,-715.2,86.4
1690520441.0,245.7,-740.1,35.8
1690520456.0,333.4,-697.4,144.2
1690520471.0,338.2,-730.7,85.6
1690520486.0,351.1,-686.2,147.0
1690520501.0,354.1,-721.6,86.7
1690520516.0,362.2,-717.8,78.2
1690520531.0,319.7,-742.9,83.1
1690520546.0,348.1,-768.2,117.7
1690520561.0,381.7,-722.9,81.2
1690520576.0,335.3,-701.5,141.3
1690520591.0,376.2,-702.6,90.7
1690520606.0,337.9,-653.1,145.8
1690520621.0,253.8,-746.8,99.5
1690520636.0,199.8,-707.1,104.7
1690520651.0,213.1,-682.1,131.6
1690520666.0,323.5,-719.1,96.4
1690520681.0,263.5,-734.8,94.7
1690520696.0,266.0,-721.3,97.2
1690520711.0,271.7,-718.4,96.6
1690520726.0,279.0,-707.9,90.1
1690520741.0,289.8,-692.2,158.2
1690520756.0,296.5,-712.4,135.5
1690520771.0,290.2,-706.8,82.8
1690520786.0,274.4,-723.2,86.5
1690520801.0,222.3,-767.7,100.3
1690520816.0,304.1,-694.2,117.8
1690520831.0,272.9,-726.5,92.7
1690520846.0,353.0,-629.7,133.9
1690520861.0,349.9,-592.0,161.1
1690520876.0,366.4,-584.1,157.8
1690520891.0,346.8,-616.6,129.0
1690520906.0,313.9,-626.1,129.2
1690520921.0,323.1,-644.2,145.0
1690520936.0,358.1,-636.8,111.6
1690520951.0,337.8,-614.1,141.1
1690520966.0,358.2,-630.1,114.3
1690520981.0,341.2,-607.9,158.6
1690520996.0,332.0,-626.8,120.9
1690521011.0,306.4,-609.8,121.2
1690521026.0,-204.2,-701.4,93.1
1690521041.0,-215.9,-722.0,93.0
1690521056.0,-213.2,-711.6,82.4
1690521071.0,-225.0,-706.5,78.0
1690521086.0,-216.0,-679.5,144.0
1690521101.0,-210.5,-684.2,153.0
1690521116.0,-209.8,-717.3,85.1
1690521131.0,-217.5,-680.3,136.2
1690521146.0,-216.6,-688.3,148.6
1690521161.0,-198.1,-756.5,113.6
1690521176.0,-188.9,-731.7,95.2
1690521191.0,-212.4,-690.2,149.7
1690521206.0,-197.4,-698.4,142.4
1690521221.0,-189.1,-758.4,96.3
1690521236.0,-198.3,-738.9,91.5
1690521251.0,-192.1,-724.4,86.5
1690521266.0,-215.4,-681.9,139.2
1690521281.0,-266.1,-612.2,148.6
1690521296.0,-268.9,-711.6,89.9
1690521311.0,-276.9,-680.1,141.6
1690521326.0,-257.9,-714.3,95.8
