timestamp,loc_x_cm,loc_y_cm,loc_z_cm
1690271846.0,-114.0,-96.0,46.0
1690271861.0,-109.0,-90.0,51.0
1690271876.0,-115.0,-93.0,53.0
1690271891.0,-125.0,-96.0,54.0
1690271906.0,-127.0,-94.0,55.0
1690271921.0,-120.0,-95.0,53.0
1690271936.0,-124.0,-98.0,54.0
1690271951.0,-129.0,-99.0,56.0
1690271966.0,-131.0,-99.0,54.0
1690271981.0,-127.0,-98.0,54.0
1690271996.0,-131.0,-99.0,54.0
1690272011.0,-130.0,-97.0,55.0
1690272026.0,-124.0,-95.0,53.0
1690272041.0,-108.0,-98.0,50.0
1690272056.0,-106.0,-97.0,49.0
1690272071.0,-109.0,-92.0,49.0
1690272086.0,-111.0,-93.0,50.0
1690272101.0,-105.0,-88.0,48.0
1690272116.0,-103.0,-88.0,48.0
1690272131.0,-107.0,-91.0,50.0
1690272146.0,-109.0,-90.0,50.0
1690272161.0,-105.0,-93.0,52.0
1690272176.0,-107.0,-90.0,50.0
1690272191.0,-99.0,-100.0,49.0
1690272206.0,-104.0,-94.0,50.0
1690272221.0,-97.0,-89.0,47.0
1690272236.0,-103.0,-88.0,50.0
1690272251.0,-102.0,-88.0,50.0
1690272266.0,-91.0,-96.0,47.0
1690272281.0,-81.0,-110.0,44.0
1690272296.0,-83.0,-111.0,46.0
1690272311.0,-79.0,-111.0,44.0
1690272326.0,-81.0,-111.0,45.0
1690272341.0,-83.0,-111.0,43.0
1690272356.0,-81.0,-111.0,47.0
1690272371.0,-84.0,-112.0,49.0
1690272386.0,-81.0,-112.0,48.0
1690272401.0,-88.0,-116.0,49.0
1690272416.0,-84.0,-115.0,50.0
1690272431.0,-88.0,-109.0,47.0
1690272446.0,-89.0,-112.0,47.0
1690272461.0,-86.0,-111.0,49.0
1690272476.0,-82.0,-116.0,49.0
1690272491.0,-91.0,-107.0,46.0
1690272506.0,-101.0,-89.0,49.0
1690272521.0,-100.0,-89.0,49.0
1690272536.0,-108.0,-91.0,50.0
1690272551.0,-103.0,-91.0,51.0
1690272566.0,-103.0,-91.0,48.0
1690272581.0,-99.0,-91.0,47.0
1690272596.0,-107.0,-93.0,48.0
1690272611.0,-103.0,-92.0,47.0
1690272626.0,-105.0,-96.0,50.0
1690272641.0,-108.0,-97.0,47.0
1690272656.0,-109.0,-94.0,49.0
1690272671.0,-106.0,-96.0,49.0
1690272686.0,-106.0,-96.0,49.0
1690272701.0,-107.0,-97.0,48.0
1690272716.0,-100.0,-95.0,48.0
1690272731.0,-104.0,-92.0,47.0
1690272746.0,-102.0,-95.0,49.0
1690272761.0,-104.0,-95.0,49.0
1690272776.0,-103.0,-96.0,46.0
1690272791.0,-101.0,-95.0,50.0
1690272806.0,-103.0,-95.0,48.0
1690272821.0,-103.0,-94.0,48.0
1690272836.0,-104.0,-94.0,49.0
1690272851.0,-103.0,-94.0,49.0
1690272866.0,-101.0,-95.0,50.0
1690272881.0,-101.0,-94.0,49.0
1690272896.0,-97.0,-96.0,47.0
1690272911.0,-103.0,-95.0,49.0
1690272926.0,-106.0,-94.0,47.0
1690272941.0,-104.0,-93.0,50.0
1690272956.0,-104.0,-93.0,48.0
1690272971.0,-102.0,-95.0,48.0
1690272986.0,-102.0,-94.0,48.0
1690273001.0,-98.0,-97.0,47.0
1690273016.0,-84.0,-108.0,47.0
1690273031.0,-85.0,-114.0,48.0
1690273046.0,-87.0,-110.0,48.0
1690273061.0,-84.0,-114.0,50.0
1690273076.0,-87.0,-110.0,47.0
1690273091.0,-87.0,-115.0,48.0
1690273106.0,-88.0,-109.0,47.0
1690273121.0,-83.0,-113.0,50.0
1690273136.0,-82.0,-116.0,45.0
1690273151.0,-85.0,-114.0,50.0
1690273166.0,-87.0,-112.0,48.0
1690273181.0,-86.0,-109.0,47.0
1690273196.0,-84.0,-111.0,49.0
1690273211.0,-86.0,-108.0,47.0
1690273226.0,-86.0,-108.0,47.0
1690273241.0,-85.0,-110.0,47.0
1690273256.0,-86.0,-108.0,47.0
1690273271.0,-86.0,-114.0,49.0
1690273286.0,-84.0,-113.0,48.0
1690273301.0,-84.0,-113.0,49.0
1690273316.0,-108.0,-85.0,49.0
1690273331.0,-105.0,-90.0,48.0
1690273346.0,-105.0,-90.0,50.0
1690273361.0,-106.0,-93.0,50.0
1690273376.0,-109.0,-92.0,50.0
1690273391.0,-106.0,-90.0,47.0
1690273406.0,-111.0,-89.0,49.0
1690273421.0,-111.0,-89.0,50.0
1690273436.0,-103.0,-90.0,47.0
1690273451.0,-105.0,-93.0,49.0
1690273466.0,-105.0,-93.0,48.0
1690273481.0,-107.0,-91.0,51.0
1690273496.0,-109.0,-92.0,48.0
1690273511.0,-108.0,-91.0,52.0
1690273526.0,-107.0,-91.0,50.0
1690273541.0,-105.0,-93.0,49.0
1690273556.0,-108.0,-92.0,49.0
1690273571.0,-108.0,-91.0,50.0
1690273586.0,-107.0,-91.0,50.0
1690273601.0,-105.0,-95.0,49.0
1690273616.0,-111.0,-92.0,47.0
1690273631.0,-109.0,-92.0,50.0
1690273646.0,-105.0,-93.0,49.0
1690273661.0,-96.0,-98.0,48.0
1690273676.0,-97.0,-97.0,47.0
1690273691.0,-115.0,-87.0,53.0
1690273706.0,-105.0,-93.0,51.0
1690273721.0,-106.0,-93.0,50.0
1690273736.0,-106.0,-92.0,51.0
1690273751.0,-102.0,-94.0,50.0
1690273766.0,-107.0,-90.0,50.0
1690273781.0,-82.0,-106.0,45.0
1690273796.0,-81.0,-106.0,44.0
1690273811.0,-80.0,-107.0,45.0
1690273826.0,-87.0,-103.0,46.0
1690273841.0,-81.0,-106.0,46.0
1690273856.0,-83.0,-105.0,45.0
1690273871.0,-97.0,-98.0,48.0
1690273886.0,-103.0,-94.0,50.0
1690273901.0,-104.0,-94.0,50.0
1690273916.0,-108.0,-91.0,47.0
1690273931.0,-107.0,-93.0,48.0
1690273946.0,-106.0,-92.0,49.0
1690273961.0,-105.0,-93.0,50.0
1690273976.0,-102.0,-93.0,48.0
1690273991.0,-102.0,-92.0,48.0
1690274006.0,-102.0,-92.0,46.0
1690274021.0,-101.0,-93.0,47.0
1690274036.0,-101.0,-94.0,49.0
1690274051.0,-102.0,-96.0,49.0
1690274066.0,-111.0,-88.0,49.0
1690274081.0,-110.0,-92.0,48.0
1690274096.0,-108.0,-89.0,49.0
1690274111.0,-113.0,-89.0,49.0
1690274126.0,-106.0,-89.0,50.0
1690274141.0,-111.0,-89.0,47.0
1690274156.0,-112.0,-89.0,50.0
1690274171.0,-115.0,-87.0,53.0
1690274186.0,-100.0,-93.0,49.0
1690274201.0,-97.0,-96.0,48.0
1690274216.0,-94.0,-97.0,47.0
1690274231.0,-93.0,-96.0,47.0
1690274246.0,-96.0,-102.0,48.0
1690274261.0,-98.0,-93.0,48.0
1690274276.0,-98.0,-94.0,48.0
1690274291.0,-107.0,-92.0,52.0
1690274306.0,-104.0,-91.0,50.0
1690274321.0,-111.0,-86.0,52.0
1690274336.0,-114.0,-85.0,53.0
1690274351.0,-114.0,-86.0,53.0
1690274366.0,-100.0,-91.0,49.0
1690274381.0,-150.0,-57.0,64.0
1690274396.0,-105.0,-90.0,50.0
1690274411.0,-100.0,-89.0,47.0
1690274426.0,-97.0,-88.0,48.0
1690274441.0,-100.0,-92.0,49.0
1690274456.0,-94.0,-88.0,49.0
1690274471.0,-97.0,-90.0,50.0
1690274486.0,-94.0,-93.0,47.0
1690274501.0,-97.0,-91.0,48.0
1690274516.0,-91.0,-93.0,42.0
1690274531.0,-81.0,-89.0,46.0
1690274546.0,-94.0,-87.0,47.0
1690274561.0,-77.0,-87.0,51.0
1690274576.0,-114.0,-71.0,55.0
1690274591.0,-115.0,-76.0,55.0
1690274606.0,-115.0,-76.0,55.0
1690274621.0,-115.0,-76.0,55.0
1690274636.0,-115.0,-76.0,55.0
1690274651.0,-115.0,-76.0,55.0
1690274666.0,-115.0,-76.0,55.0
1690274681.0,-115.0,-76.0,55.0
1690274696.0,-115.0,-76.0,55.0
1690274711.0,-115.0,-76.0,55.0
1690274726.0,-115.0,-76.0,55.0
1690274741.0,-115.0,-76.0,55.0
1690274756.0,-115.0,-76.0,55.0
1690274771.0,-115.0,-76.0,55.0
1690274786.0,-115.0,-76.0,55.0
1690274801.0,-115.0,-76.0,55.0
1690274816.0,-97.0,-90.0,49.0
1690274831.0,-99.0,-89.0,50.0
1690274846.0,-99.0,-88.0,50.0
1690274861.0,-98.0,-91.0,49.0
1690274876.0,-100.0,-89.0,50.0
1690274891.0,-96.0,-89.0,49.0
1690274906.0,-101.0,-87.0,50.0
1690274921.0,-100.0,-89.0,50.0
1690274936.0,-94.0,-90.0,48.0
1690274951.0,-95.0,-89.0,48.0
1690274966.0,-103.0,-94.0,49.0
1690274981.0,-105.0,-97.0,52.0
1690274996.0,-106.0,-96.0,50.0
1690275011.0,-59.0,-111.0,62.0
1690275026.0,-90.0,-106.0,54.0
1690275041.0,-77.0,-112.0,60.0
1690275056.0,-84.0,-100.0,54.0
1690275071.0,-106.0,-85.0,49.0
1690275086.0,-107.0,-102.0,51.0
1690275101.0,-97.0,-106.0,53.0
1690275116.0,-111.0,-100.0,51.0
1690275131.0,-110.0,-93.0,51.0
1690275146.0,-114.0,-90.0,47.0
1690275161.0,-93.0,-91.0,49.0
1690275176.0,-105.0,-92.0,47.0
1690275191.0,-107.0,-98.0,49.0
1690275206.0,-103.0,-87.0,51.0
1690275221.0,-101.0,-93.0,49.0
1690275236.0,-104.0,-91.0,48.0
1690275251.0,-105.0,-88.0,48.0
1690275266.0,-106.0,-92.0,50.0
1690275281.0,-105.0,-93.0,49.0
1690275296.0,-118.0,-89.0,47.0
1690275311.0,-110.0,-94.0,48.0
1690275326.0,-104.0,-90.0,49.0
1690275341.0,-100.0,-91.0,49.0
1690275356.0,-102.0,-96.0,51.0
1690275371.0,-109.0,-93.0,49.0
1690275386.0,-122.0,-88.0,49.0
1690275401.0,-114.0,-92.0,49.0
1690275416.0,-120.0,-91.0,48.0
1690275431.0,-105.0,-94.0,49.0
1690275446.0,-95.0,-95.0,47.0
1690275461.0,-100.0,-92.0,49.0
1690275476.0,-108.0,-91.0,48.0
1690275491.0,-105.0,-93.0,47.0
1690275506.0,-105.0,-93.0,47.0
1690275521.0,-105.0,-93.0,47.0
1690275536.0,-103.0,-94.0,46.0
1690275551.0,-107.0,-92.0,47.0
1690275566.0,-104.0,-92.0,46.0
1690275581.0,-104.0,-93.0,47.0
1690275596.0,-105.0,-93.0,47.0
1690275611.0,-104.0,-92.0,46.0
1690275626.0,-105.0,-93.0,47.0
1690275641.0,-110.0,-89.0,49.0
1690275656.0,-108.0,-90.0,48.0
1690275671.0,-110.0,-91.0,48.0
1690275686.0,-108.0,-92.0,47.0
1690275701.0,-105.0,-93.0,47.0
1690275716.0,-107.0,-92.0,47.0
1690275731.0,-107.0,-91.0,47.0
1690275746.0,-107.0,-89.0,47.0
1690275761.0,-110.0,-89.0,48.0
1690275776.0,-110.0,-88.0,48.0
1690275791.0,-111.0,-87.0,48.0
1690275806.0,-111.0,-87.0,48.0
1690275821.0,-113.0,-86.0,49.0
1690275836.0,-113.0,-85.0,49.0
1690275851.0,-111.0,-86.0,48.0
1690275866.0,-112.0,-84.0,48.0
1690275881.0,-111.0,-84.0,48.0
1690275896.0,-111.0,-88.0,48.0
1690275911.0,-110.0,-89.0,48.0
1690275926.0,-111.0,-88.0,48.0
1690275941.0,-107.0,-90.0,47.0
1690275956.0,-117.0,-89.0,51.0
1690275971.0,-110.0,-90.0,48.0
1690275986.0,-105.0,-93.0,47.0
1690276001.0,-80.0,-105.0,53.0
1690276016.0,-80.0,-105.0,53.0
1690276031.0,-80.0,-106.0,53.0
1690276046.0,-78.0,-105.0,53.0
1690276061.0,-82.0,-104.0,54.0
1690276076.0,-82.0,-104.0,54.0
1690276091.0,-82.0,-103.0,54.0
1690276106.0,-80.0,-105.0,53.0
1690276121.0,-90.0,-107.0,55.0
1690276136.0,-91.0,-106.0,55.0
1690276151.0,-90.0,-107.0,55.0
1690276166.0,-90.0,-107.0,55.0
1690276181.0,-89.0,-108.0,54.0
1690276196.0,-86.0,-110.0,53.0
1690276211.0,-90.0,-107.0,55.0
1690276226.0,-87.0,-108.0,54.0
1690276241.0,-91.0,-106.0,55.0
1690276256.0,-95.0,-101.0,56.0
1690276271.0,-93.0,-102.0,55.0
1690276286.0,-93.0,-102.0,55.0
1690276301.0,-94.0,-101.0,56.0
1690276316.0,-95.0,-103.0,56.0
1690276331.0,-95.0,-102.0,56.0
1690276346.0,-96.0,-103.0,56.0
1690276361.0,-96.0,-102.0,56.0
1690276376.0,-95.0,-104.0,56.0
1690276391.0,-89.0,-108.0,54.0
1690276406.0,-91.0,-107.0,55.0
1690276421.0,-90.0,-107.0,55.0
1690276436.0,-88.0,-108.0,54.0
1690276451.0,-88.0,-108.0,54.0
1690276466.0,-90.0,-107.0,55.0
1690276481.0,-90.0,-107.0,55.0
