timestamp,coord_x_cm,coord_y_cm,coord_z_cm
1691038811.0,-61.2,-38.5,104.4
1691038826.0,-109.2,-44.3,106.0
1691038841.0,-99.4,-42.1,109.6
1691038856.0,-66.5,-59.2,103.8
1691038871.0,-67.3,-25.2,101.8
1691038886.0,-55.6,-50.6,101.7
1691038901.0,-79.3,-42.2,103.9
1691038916.0,-80.8,-47.0,110.8
1691038931.0,-77.0,-44.5,106.9
1691038946.0,-85.0,-38.0,106.2
1691038961.0,-92.6,-37.6,105.7
1691038976.0,-48.6,-68.4,116.7
1691038991.0,-71.4,-45.5,105.5
1691039006.0,-83.3,-37.1,105.6
1691039021.0,-93.4,-46.0,108.0
1691039051.0,-106.7,-40.8,113.0
1691039066.0,-90.9,-40.6,114.3
1691039081.0,-81.9,-23.2,109.9
1691039096.0,-75.0,-46.8,104.6
1691039111.0,-88.6,-47.8,104.0
1691039126.0,-100.3,-34.1,99.9
1691039141.0,-96.9,-39.0,102.2
1691039156.0,-113.4,-53.2,80.1
1691039171.0,-106.8,-35.0,101.0
1691039186.0,-108.9,-30.8,104.6
1691039201.0,-71.6,-14.6,92.3
1691039216.0,-98.3,-35.4,97.6
1691039231.0,-99.2,-38.3,107.8
1691039246.0,-116.5,-29.2,113.3
1691039261.0,-66.6,-50.1,100.6
1691039276.0,-42.1,-55.2,103.4
1691039291.0,-48.1,-58.2,102.3
1691039306.0,-82.8,-45.1,111.5
1691039321.0,-84.5,-52.6,104.1
1691039336.0,-59.4,-61.5,108.8
1691039351.0,-101.9,-37.0,111.3
1691039366.0,-78.6,-54.4,96.5
1691039381.0,-101.4,-34.2,107.1
1691039396.0,-86.8,-39.2,106.0
1691039411.0,-47.7,-64.0,111.1
1691039426.0,-55.2,-58.4,106.2
1691039441.0,-43.2,-57.8,104.4
1691039456.0,-53.7,-60.5,106.7
1691039471.0,-25.4,-78.2,100.8
1691039486.0,-79.7,-48.6,107.2
1691039501.0,-96.4,-34.8,112.0
1691039516.0,-68.5,-49.3,110.6
1691039531.0,-71.7,-48.1,105.9
1691039546.0,-116.9,-33.2,100.3
1691039561.0,-105.8,-40.9,97.5
1691039576.0,-111.8,-32.6,107.3
1691039591.0,-102.7,-38.5,99.2
1691039606.0,-106.3,-35.5,98.9
1691039621.0,-100.4,-44.4,106.9
1691039636.0,-114.3,-31.3,104.7
1691039651.0,-110.3,-33.1,100.9
1691039666.0,-117.2,-33.9,105.0
1691039681.0,-75.4,-43.9,103.2
1691039696.0,-100.4,-32.2,102.3
1691039711.0,-108.5,-38.1,96.1
1691039726.0,-103.6,-40.9,94.1
1691039741.0,-98.0,-40.0,91.7
1691039756.0,-86.5,-46.3,94.7
1691039771.0,-86.1,-36.1,97.0
1691039786.0,-89.4,-41.6,103.7
1691039801.0,-96.7,-41.5,101.9
1691039816.0,-104.0,-39.6,103.4
1691039831.0,-87.6,-36.7,102.6
1691039846.0,-87.5,-33.7,100.7
1691039861.0,-103.1,-36.8,102.4
1691039876.0,-100.1,-34.9,103.1
1691039891.0,-105.9,-31.6,99.6
1691039906.0,-105.2,-33.4,100.4
1691039921.0,-111.1,-29.9,99.2
1691039936.0,-100.3,-33.2,98.7
1691039951.0,-89.6,-38.6,99.7
1691039966.0,-100.6,-34.9,102.4
1691039981.0,-103.3,-35.9,99.9
1691039996.0,-110.7,-36.2,101.5
1691040011.0,-114.9,-33.6,99.4
1691040026.0,-79.9,-44.6,99.9
1691040041.0,-49.2,-63.3,99.3
1691040056.0,-59.7,-51.6,99.7
1691040071.0,-57.6,-55.1,100.6
1691040086.0,-106.9,-33.6,102.5
1691040101.0,-102.9,-32.2,100.9
1691040116.0,-103.5,-36.8,100.3
1691040131.0,-95.8,-38.5,105.5
1691040146.0,-103.7,-39.0,101.5
1691040161.0,-119.3,-36.0,104.8
1691040176.0,-94.2,-32.7,101.3
1691040191.0,-106.1,-38.5,99.7
1691040206.0,-101.2,-33.5,102.2
1691040221.0,-65.9,-46.7,96.2
1691040236.0,-103.4,-31.1,103.6
1691040251.0,-88.3,-29.5,108.0
1691040266.0,-100.9,-56.3,86.5
1691040281.0,-97.2,-30.7,97.2
1691040296.0,-90.0,-32.7,92.7
1691040311.0,-96.7,-30.4,103.7
1691040326.0,-95.1,-21.9,95.3
1691040341.0,-104.5,-45.4,109.8
1691040356.0,-137.8,-39.2,126.0
1691040371.0,-142.4,-37.3,139.3
1691040386.0,-136.9,-34.5,130.3
1691040401.0,-114.1,-18.2,130.2
1691040416.0,-117.0,-29.5,125.0
1691040431.0,-83.1,-24.5,122.8
1691040446.0,-90.2,-44.7,131.6
1691040461.0,-128.7,-32.2,113.1
1691040476.0,-113.9,-48.4,134.9
1691040491.0,-111.8,-51.0,123.1
1691040506.0,-117.1,-60.0,139.8
1691040521.0,-136.4,-68.4,141.1
1691040536.0,-128.1,-58.1,150.6
1691040551.0,-138.6,-63.6,145.6
1691040566.0,-130.4,-50.1,158.0
1691040581.0,-136.3,-49.7,138.2
1691040596.0,-143.7,-50.9,146.2
1691040611.0,-132.7,-47.8,158.5
1691040626.0,-98.3,-45.7,122.7
1691040641.0,-150.5,-31.3,155.9
1691040656.0,-85.0,-24.4,176.9
1691040671.0,-133.9,-48.2,161.2
1691040686.0,-117.2,-59.1,149.1
1691040701.0,-135.5,-75.4,145.0
1691040716.0,-90.6,-110.5,147.8
1691040731.0,-84.0,-100.9,151.0
1691040746.0,-135.1,-117.0,141.2
1691040761.0,-125.8,-148.8,162.7
1691040776.0,-108.5,-135.6,156.5
1691040791.0,-146.7,-193.5,100.6
1691040806.0,-160.4,-291.9,125.8
1691040821.0,-399.0,-316.4,128.5
1691040836.0,-886.2,-15.3,140.2
1691040851.0,-884.6,4.7,122.4
1691040866.0,-876.5,-23.9,131.7
1691040881.0,-904.3,-50.8,179.3
1691040896.0,-882.0,-3.7,126.0
1691040911.0,-892.6,3.1,141.2
1691040926.0,-885.7,9.2,135.6
1691040941.0,-879.8,-59.2,131.6
1691040956.0,-947.7,63.6,295.9
1691040971.0,-875.3,-22.8,122.2
1691040986.0,-876.5,-62.6,116.8
1691041001.0,-884.6,-66.6,132.4
1691041016.0,-886.2,-55.2,129.9
1691041031.0,-899.6,-40.1,139.4
1691041046.0,-883.6,-67.7,128.9
1691041061.0,-896.7,-47.8,151.1
1691041076.0,-865.1,-51.8,83.8
1691041091.0,-877.6,-29.2,122.5
1691041106.0,-886.4,29.0,122.1
1691041121.0,-851.5,29.8,124.7
1691041136.0,-905.8,-17.0,143.0
1691041151.0,-849.5,-2.9,85.9
1691041166.0,-887.7,-157.9,101.8
1691041181.0,-834.3,-311.4,157.1
1691041196.0,-697.6,-569.2,146.0
1691041211.0,-475.1,-584.7,127.2
1691041226.0,190.8,-568.4,136.0
1691041241.0,568.1,-610.1,125.7
1691041256.0,572.5,-697.2,85.9
1691041271.0,560.0,-717.3,87.5
1691041286.0,547.1,-711.9,90.3
1691041301.0,485.3,-728.8,114.2
1691041316.0,515.0,-727.2,92.2
1691041331.0,506.5,-722.4,92.1
1691041346.0,463.4,-582.0,147.3
1691041361.0,300.8,-618.6,133.6
1691041376.0,303.0,-733.2,92.0
1691041391.0,263.2,-760.1,100.2
1691041406.0,267.8,-730.6,95.4
1691041421.0,237.8,-720.7,94.2
1691041436.0,250.2,-688.2,84.9
1691041451.0,242.9,-711.3,88.2
1691041466.0,271.0,-691.6,153.4
1691041481.0,216.8,-640.2,145.2
1691041496.0,232.5,-755.7,93.6
1691041511.0,210.9,-721.7,123.7
1691041526.0,214.1,-695.8,157.6
1691041541.0,207.4,-765.8,104.7
1691041556.0,197.1,-701.8,81.5
1691041571.0,223.3,-680.9,152.1
1691041586.0,212.8,-692.6,149.4
1691041601.0,208.2,-707.0,136.5
1691041616.0,208.9,-720.8,91.2
1691041631.0,171.8,-703.7,81.9
1691041646.0,229.2,-689.9,149.6
1691041661.0,217.1,-611.7,158.7
1691041676.0,264.1,-715.9,150.8
1691041691.0,274.0,-740.4,98.8
1691041706.0,264.7,-743.5,96.8
1691041721.0,272.0,-745.0,103.2
1691041736.0,270.3,-729.3,95.1
1691041751.0,280.0,-705.4,127.9
1691041766.0,550.5,-567.8,118.4
1691041781.0,811.6,-582.7,117.3
1691041796.0,964.0,-718.4,99.5
1691041811.0,963.3,-758.6,102.5
1691041826.0,966.2,-720.4,100.0
1691041841.0,950.9,-784.0,106.0
1691041856.0,966.4,-743.7,100.2
1691041871.0,963.1,-758.9,104.2
1691041886.0,950.8,-723.5,87.5
1691041901.0,953.6,-713.6,92.8
1691041916.0,973.4,-763.3,121.4
1691041931.0,928.3,-735.3,65.8
1691041946.0,955.4,-709.1,95.2
1691041961.0,953.2,-728.5,100.8
1691041976.0,942.1,-713.3,79.8
1691041991.0,959.0,-746.3,109.4
1691042006.0,949.3,-711.7,91.2
1691042021.0,947.1,-721.3,87.0
